"","Player","ORPM","DRPM","RPM","Possessions","year"
"163","Fat Lever","-0.1","-0.7","-0.8","292.0",1991
"164","Paul Mokeski","-0.2","-0.6","-0.8","1098.0",1991
"165","Anthony Cook","-2.2","1.3","-0.8","5462.0",1991
"166","Sam Bowie","-1.9","1.1","-0.8","8294.0",1991
"167","Tony Brown","0.1","-0.9","-0.8","1078.0",1991
"168","Byron Irvin","0.6","-1.4","-0.8","1304.0",1991
"169","Byron Dinkins","0.0","-0.9","-0.8","564.0",1991
"170","Eddie Johnson","1.4","-2.3","-0.8","8288.0",1991
"171","Pete Myers","-0.1","-0.8","-0.8","392.0",1991
"172","Lance Blanks","-0.1","-0.7","-0.8","796.0",1991
"173","Dave Popson","-0.1","-0.8","-0.9","262.0",1991
"174","Grant Long","-1.6","0.8","-0.9","10804.0",1991
"175","Armen Gilliam","-0.9","0.1","-0.9","12136.0",1991
"176","Antoine Carr","-0.3","-0.5","-0.9","9636.0",1991
"177","Dave Jamerson","-0.0","-0.9","-0.9","970.0",1991
"178","Dan O'Sullivan","-0.0","-0.9","-0.9","342.0",1991
"179","Steve Colter","-0.3","-0.6","-0.9","898.0",1991
"180","Johnny Dawkins","-0.0","-0.9","-0.9","504.0",1991
"181","Greg Kite","-3.0","2.1","-0.9","10942.0",1991
"182","Irving Thomas","-0.2","-0.7","-0.9","482.0",1991
"183","Stojko Vrankovic","-0.0","-0.9","-0.9","766.0",1991
"184","Kelvin Upshaw","1.3","-2.3","-0.9","1776.0",1991
"185","Darnell Valentine","-0.7","-0.3","-0.9","8388.0",1991
"186","Leon Wood","0.0","-1.0","-0.9","774.0",1991
"187","Kevin Duckworth","-0.9","0.0","-0.9","13884.0",1991
"188","Tony Campbell","-0.1","-0.8","-0.9","10868.0",1991
"189","Rex Chapman","0.9","-1.8","-0.9","9378.0",1991
"190","Kendall Gill","-0.3","-0.7","-1.0","7696.0",1991
"191","Robert Reid","-0.1","-0.9","-1.0","258.0",1991
"192","Kurk Lee","-0.4","-0.6","-1.0","1054.0",1991
"193","Orlando Woolridge","0.4","-1.3","-1.0","9020.0",1991
"194","Pat Cummings","-0.2","-0.8","-1.0","106.0",1991
"195","Ian Lockhart","-0.1","-0.8","-1.0","14.0",1991
"196","Tree Rollins","-0.0","-1.0","-1.0","796.0",1991
"197","David Wood","-0.1","-0.9","-1.0","5428.0",1991
"198","Greg Anderson","-2.8","1.8","-1.0","3398.0",1991
"199","Scott Meents","-0.1","-0.9","-1.0","260.0",1991
"200","Roy Hinson","-0.2","-0.8","-1.0","302.0",1991
"201","Stuart Gray","-0.1","-0.9","-1.0","138.0",1991
"202","Charles Smith","-0.1","-0.9","-1.0","100.0",1991
"203","Cedric Ball","-0.2","-0.8","-1.0","116.0",1991
