"","scores.match_id","scores.home_rank","scores.away_rank","scores.home_rpi","scores.away_rpi"
"47","320323020",17,25,0.500370505245646,0.502857828889405
"48","320325002",25,2,0.502857828889405,0.49565276861117
"49","320326030",6,25,0.497172534702085,0.502857828889405
"50","320328002",25,14,0.502857828889405,0.499259262620091
"51","320330016",5,25,0.496795101243643,0.502857828889405
"52","320401002",25,30,0.502857828889405,0.503922100039331
"53","320404002",25,27,0.502857828889405,0.503657276588771
"54","320405004",29,25,0.503895172979957,0.502857828889405
"55","320407011",10,25,0.498771925714423,0.502857828889405
"56","320408002",25,17,0.502857828889405,0.500370505245646
"57","320410014",30,25,0.503922100039331,0.502857828889405
"58","320411002",25,12,0.502857828889405,0.499092902551143
"59","320413028",4,25,0.496190061684117,0.502857828889405
"60","320414017",3,25,0.495984333773282,0.502857828889405
"61","320415030",6,25,0.497172534702085,0.502857828889405
"62","320417018",15,25,0.500040648062124,0.502857828889405
"63","320418002",25,26,0.502857828889405,0.502875063515975
"64","320420001",12,25,0.499092902551143,0.502857828889405
"65","320424002",25,30,0.502857828889405,0.503922100039331
"66","320426002",25,13,0.502857828889405,0.499149719587537
"67","311226027",2,3,0.49565276861117,0.495984333773282
"68","311227017",3,12,0.495984333773282,0.499092902551143
"69","311229019",26,3,0.502875063515975,0.495984333773282
"70","311230001",12,3,0.499092902551143,0.495984333773282
"71","320101005",1,3,0.494481475816036,0.495984333773282
"72","320102017",3,10,0.495984333773282,0.498771925714423
"73","320106028",4,3,0.496190061684117,0.495984333773282
"74","320107017",3,30,0.495984333773282,0.503922100039331
"75","320109017",3,12,0.495984333773282,0.499092902551143
"76","320111007",24,3,0.502848233842612,0.495984333773282
"77","320113021",16,3,0.50007361573061,0.495984333773282
"78","320114026",14,3,0.499259262620091,0.495984333773282
"79","320116012",9,3,0.498425372894859,0.495984333773282
"80","320118017",3,11,0.495984333773282,0.498967872791655
"81","320121017",3,22,0.495984333773282,0.502289318883577
"82","320122017",3,6,0.495984333773282,0.497172534702085
"83","320123004",29,3,0.503895172979957,0.495984333773282
"84","320125020",17,3,0.500370505245646,0.495984333773282
"85","320127005",1,3,0.494481475816036,0.495984333773282
"86","320129017",3,4,0.495984333773282,0.496190061684117
"87","320131011",10,3,0.498771925714423,0.495984333773282
"88","320201017",3,8,0.495984333773282,0.497421023793282
"89","320203017",3,5,0.495984333773282,0.496795101243643
"90","320204018",15,3,0.500040648062124,0.495984333773282
"91","320206017",3,29,0.495984333773282,0.503895172979957
"92","320208017",3,8,0.495984333773282,0.497421023793282
"93","320210008",8,3,0.497421023793282,0.495984333773282
"94","320211017",3,27,0.495984333773282,0.503657276588771
"95","320215017",3,21,0.495984333773282,0.50181356945427
"96","320216011",10,3,0.498771925714423,0.495984333773282
"97","320218004",29,3,0.503895172979957,0.495984333773282
"98","320219017",3,13,0.495984333773282,0.499149719587537
"99","320220018",15,3,0.500040648062124,0.495984333773282
"100","320222017",3,26,0.495984333773282,0.502875063515975
"101","320228006",23,3,0.502768637964828,0.495984333773282
"102","320304030",6,3,0.497172534702085,0.495984333773282
"103","320306014",30,3,0.503922100039331,0.495984333773282
"104","320307017",3,9,0.495984333773282,0.498425372894859
"105","320309030",6,3,0.497172534702085,0.495984333773282
"106","320310017",3,20,0.495984333773282,0.50157894164884
"107","320312017",3,13,0.495984333773282,0.499149719587537
"108","320314017",3,4,0.495984333773282,0.496190061684117
"109","320316019",26,3,0.502875063515975,0.495984333773282
"110","320317017",3,18,0.495984333773282,0.501227233747276
"111","320319017",3,1,0.495984333773282,0.494481475816036
"112","320321017",3,2,0.495984333773282,0.49565276861117
"113","320323001",12,3,0.499092902551143,0.495984333773282
"114","320324017",3,6,0.495984333773282,0.497172534702085
"115","320326017",3,14,0.495984333773282,0.499259262620091
"116","320328017",3,10,0.495984333773282,0.498771925714423
"117","320330009",11,3,0.498967872791655,0.495984333773282
"118","320331023",7,3,0.497345393479924,0.495984333773282
"119","320403013",28,3,0.503702772822696,0.495984333773282
"120","320404022",19,3,0.501369331320839,0.495984333773282
"121","320406017",3,2,0.495984333773282,0.49565276861117
"122","320408017",3,1,0.495984333773282,0.494481475816036
"123","320410017",3,17,0.495984333773282,0.500370505245646
